symbol,timestamp,open,high,low,close,volume
TCS,2023-01-02,3500.0,3527.83,3477.33,3527.83,2404167
TCS,2023-01-03,3527.83,3610.19,3492.18,3610.19,7372653
TCS,2023-01-04,3610.19,3629.77,3586.57,3586.57,3738180
TCS,2023-01-05,3586.57,3680.27,3552.48,3563.31,3621062
TCS,2023-01-06,3563.31,3574.5,3510.95,3510.95,5104629
TCS,2023-01-09,3510.95,3533.05,3438.33,3438.33,5628109
TCS,2023-01-10,3438.33,3442.14,3398.75,3411.97,1585464
TCS,2023-01-11,3411.97,3432.91,3379.65,3432.91,1879049
TCS,2023-01-12,3432.91,3496.49,3403.64,3403.64,1309496
TCS,2023-01-13,3403.64,3411.45,3351.34,3351.34,6962700
TCS,2023-01-16,3351.34,3417.01,3306.83,3363.51,9726261
TCS,2023-01-17,3363.51,3375.13,3333.86,3375.13,9296868
TCS,2023-01-18,3375.13,3385.29,3325.23,3370.96,8458637
TCS,2023-01-19,3370.96,3416.36,3336.25,3336.25,5884264
TCS,2023-01-20,3336.25,3354.13,3313.66,3354.13,1049699
TCS,2023-01-23,3354.13,3386.59,3324.36,3386.59,7561064
TCS,2023-01-24,3386.59,3397.06,3345.65,3345.65,3978082
TCS,2023-01-25,3345.65,3396.28,3331.92,3396.28,3926649
TCS,2023-01-26,3396.28,3442.34,3393.83,3439.37,2076348
TCS,2023-01-27,3439.37,3492.86,3412.01,3492.86,6051494
TCS,2023-01-30,3492.86,3547.51,3401.36,3492.73,1228772
TCS,2023-01-31,3492.73,3542.29,3456.32,3537.54,5577136
TCS,2023-02-01,3537.54,3550.17,3485.26,3527.65,3059183
TCS,2023-02-02,3527.65,3535.14,3501.99,3501.99,2450991
TCS,2023-02-03,3501.99,3551.83,3483.44,3551.83,9033030
TCS,2023-02-06,3551.83,3600.55,3545.59,3580.95,9064821
TCS,2023-02-07,3580.95,3592.68,3545.03,3545.03,8362132
TCS,2023-02-08,3545.03,3639.16,3468.98,3468.98,2998970
TCS,2023-02-09,3468.98,3496.81,3452.88,3452.88,5669115
TCS,2023-02-10,3452.88,3485.44,3404.4,3475.53,9746038
TCS,2023-02-13,3475.53,3476.46,3377.24,3377.24,1463308
TCS,2023-02-14,3377.24,3503.71,3368.49,3503.71,3156057
TCS,2023-02-15,3503.71,3544.66,3463.67,3503.64,3138737
TCS,2023-02-16,3503.64,3544.91,3455.15,3544.91,6690752
TCS,2023-02-17,3544.91,3622.56,3509.8,3577.89,1366976
TCS,2023-02-20,3577.89,3638.95,3546.63,3549.28,1149290
