symbol,timestamp,open,high,low,close,volume
AAPL,2023-01-02,197.54,199.58,187.89,192.55,5390835
AAPL,2023-01-03,192.55,195.09,181.89,182.09,3473953
AAPL,2023-01-04,182.09,182.75,175.58,176.01,2436558
AAPL,2023-01-05,176.01,176.52,169.21,170.72,6717933
AAPL,2023-01-06,170.72,175.37,165.92,172.69,2885874
AAPL,2023-01-09,172.69,172.98,161.07,164.02,5065409
AAPL,2023-01-10,164.02,168.07,163.97,167.53,1013658
AAPL,2023-01-11,167.53,172.38,167.32,167.63,6679111
AAPL,2023-01-12,167.63,171.82,163.28,167.98,8370202
AAPL,2023-01-13,167.98,174.66,162.96,169.81,1247134
AAPL,2023-01-16,169.81,175.12,165.7,172.06,8319891
AAPL,2023-01-17,172.06,176.42,164.73,167.65,4843281
AAPL,2023-01-18,167.65,171.63,163.06,167.18,4348432
AAPL,2023-01-19,167.18,174.94,164.45,171.44,9506957
AAPL,2023-01-20,171.44,172.26,164.42,168.65,9296152
AAPL,2023-01-23,168.65,180.2,168.24,176.98,7354086
AAPL,2023-01-24,176.98,178.91,171.27,174.48,1950936
AAPL,2023-01-25,174.48,179.41,165.3,170.29,5601141
AAPL,2023-01-26,170.29,178.66,166.01,174.12,4275202
AAPL,2023-01-27,174.12,178.16,170.82,173.84,3599293
AAPL,2023-01-30,173.84,178.03,169.96,171.9,3547165
AAPL,2023-01-31,171.9,175.87,168.87,170.59,1206041
AAPL,2023-02-01,170.59,172.35,168.08,168.44,8047925
AAPL,2023-02-02,168.44,168.82,164.52,165.96,3347139
AAPL,2023-02-03,165.96,170.85,162.23,163.81,8145703
AAPL,2023-02-06,163.81,166.38,162.48,163.06,2970246
AAPL,2023-02-07,163.06,166.86,155.39,157.43,6588324
AAPL,2023-02-08,157.43,160.18,153.82,154.3,1405216
AAPL,2023-02-09,154.3,155.29,148.3,150.34,7501423
AAPL,2023-02-10,150.34,153.9,144.81,148.52,6656662
AAPL,2023-02-13,148.52,148.69,146.04,146.47,7789778
AAPL,2023-02-14,146.47,148.28,140.78,145.07,6353195
AAPL,2023-02-15,145.07,146.16,141.98,144.47,9884156
AAPL,2023-02-16,144.47,145.17,139.53,142.24,7298569
AAPL,2023-02-17,142.24,146.42,140.08,144.61,6491413
AAPL,2023-02-20,144.61,148.02,140.66,142.81,2683908
AAPL,2023-02-21,142.81,148.6,141.67,147.08,2883286
AAPL,2023-02-22,147.08,150.6,142.2,145.97,6072027
AAPL,2023-02-23,145.97,150.75,145.54,146.4,2672668
AAPL,2023-02-24,146.4,147.98,141.09,143.45,7941573
AAPL,2023-02-27,143.45,145.44,139.85,144.57,4885680
AAPL,2023-02-28,144.57,146.28,141.21,142.41,9294338
AAPL,2023-03-01,142.41,142.43,135.59,137.47,1821547
AAPL,2023-03-02,137.47,140.75,132.19,135.54,4690120
